"Date","VIXSIM"
"1993-03-15",8549.88
"1993-03-16",8416.47
"1993-03-17",8428.07
"1993-03-18",8219.26
"1993-03-19",7674.01
"1993-03-22",7923.43
"1993-03-23",7552.2
"1993-03-24",7215.78
"1993-03-25",7006.96
"1993-03-26",7082.37
"1993-03-29",7325.99
"1993-03-30",7093.97
"1993-03-31",7267.98
"1993-04-01",7552.2
"1993-04-02",8410.67
"1993-04-05",8190.26
"1993-04-06",8259.86
"1993-04-07",7911.83
"1993-04-08",7442
"1993-04-12",6919.95
"1993-04-13",6786.54
"1993-04-14",6821.35
"1993-04-15",6357.31
"1993-04-16",6548.72
"1993-04-19",6995.36
"1993-04-20",6925.75
"1993-04-21",7024.36
"1993-04-22",7354.99
"1993-04-23",7749.42
"1993-04-26",8845.71
"1993-04-27",8080.05
"1993-04-28",7610.21
"1993-04-29",7424.59
"1993-04-30",7204.18
"1993-05-03",7482.6
"1993-05-04",7041.76
"1993-05-05",7180.97
"1993-05-06",7668.21
"1993-05-07",7546.4
"1993-05-10",7958.24
"1993-05-11",7743.62
"1993-05-12",7865.43
"1993-05-13",8561.48
"1993-05-14",8346.87
"1993-05-17",8196.06
"1993-05-18",8230.86
"1993-05-19",8288.86
"1993-05-20",8109.05
"1993-05-21",8416.47
"1993-05-24",8178.65
"1993-05-25",8143.85
"1993-05-26",7471
"1993-05-27",7598.61
"1993-05-28",7813.23
"1993-06-01",7929.23
"1993-06-02",7819.03
"1993-06-03",7853.83
"1993-06-04",7459.4
"1993-06-07",8161.25
"1993-06-08",8549.88
"1993-06-09",8097.45
"1993-06-10",7720.42
"1993-06-11",7372.39
"1993-06-14",7151.97
"1993-06-15",6954.76
"1993-06-16",6885.15
"1993-06-17",6763.34
"1993-06-18",7099.77
"1993-06-21",7105.57
"1993-06-22",6757.54
"1993-06-23",6983.76
"1993-06-24",7105.57
"1993-06-25",6525.52
"1993-06-28",6444.32
"1993-06-29",6548.72
"1993-06-30",6531.32
"1993-07-01",6676.33
"1993-07-02",6571.93
"1993-07-06",8045.24
"1993-07-07",7569.61
"1993-07-08",7099.77
"1993-07-09",6264.5
"1993-07-12",6293.5
"1993-07-13",6392.11
"1993-07-14",6252.9
"1993-07-15",6148.49
"1993-07-16",6357.31
"1993-07-19",6647.33
"1993-07-20",6409.51
"1993-07-21",6943.16
"1993-07-22",6780.74
"1993-07-23",6566.13
"1993-07-26",6566.13
"1993-07-27",6577.73
"1993-07-28",6595.13
"1993-07-29",6525.52
"1993-07-30",6803.94
"1993-08-02",6653.13
"1993-08-03",6664.73
"1993-08-04",6792.34
"1993-08-05",6977.96
"1993-08-06",7151.97
"1993-08-09",7186.77
"1993-08-10",7140.37
"1993-08-11",7001.16
"1993-08-12",7180.97
"1993-08-13",7070.77
"1993-08-16",6966.36
"1993-08-17",6722.74
"1993-08-18",6682.13
"1993-08-19",6745.94
"1993-08-20",6740.14
"1993-08-23",7047.56
"1993-08-24",6844.55
"1993-08-25",7018.56
"1993-08-26",7041.76
"1993-08-27",6908.35
"1993-08-30",6809.74
"1993-08-31",6873.55
"1993-09-01",6658.93
"1993-09-02",6885.15
"1993-09-03",6473.32
"1993-09-07",7482.6
"1993-09-08",7679.81
"1993-09-09",7349.19
"1993-09-10",6786.54
"1993-09-13",7053.36
"1993-09-14",7627.61
"1993-09-15",7366.59
"1993-09-16",7749.42
"1993-09-17",7766.82
"1993-09-20",8468.68
"1993-09-21",10034.8
"1993-09-22",7975.64
"1993-09-23",7749.42
"1993-09-24",7233.18
"1993-09-27",7244.78
"1993-09-28",7070.77
"1993-09-29",7325.99
"1993-09-30",7534.8
"1993-10-01",6861.95
"1993-10-04",7453.6
"1993-10-05",7523.2
"1993-10-06",7354.99
"1993-10-07",7621.81
"1993-10-08",6983.76
"1993-10-11",7111.37
"1993-10-12",7198.38
"1993-10-13",6600.93
"1993-10-14",6380.51
"1993-10-15",6305.1
"1993-10-18",6571.93
"1993-10-19",6734.34
"1993-10-20",6566.13
"1993-10-21",6496.52
"1993-10-22",6658.93
"1993-10-25",6861.95
"1993-10-26",6861.95
"1993-10-27",6966.36
"1993-10-28",6890.95
"1993-10-29",6647.33
"1993-11-01",6832.95
"1993-11-02",6809.74
"1993-11-03",7691.42
"1993-11-04",8515.08
"1993-11-05",8683.29
"1993-11-08",8300.46
"1993-11-09",8085.85
"1993-11-10",7958.24
"1993-11-11",8051.04
"1993-11-12",7732.02
"1993-11-15",8387.47
"1993-11-16",8764.5
"1993-11-17",9031.32
"1993-11-18",8497.68
"1993-11-19",8718.1
"1993-11-22",9222.74
"1993-11-23",8277.26
"1993-11-24",7836.43
"1993-11-26",7987.24
"1993-11-29",8190.26
"1993-11-30",7981.44
"1993-12-01",8022.04
"1993-12-02",7836.43
"1993-12-03",7360.79
"1993-12-06",7447.8
"1993-12-07",7198.38
"1993-12-08",7227.38
"1993-12-09",7209.98
"1993-12-10",7308.58
"1993-12-13",6368.91
"1993-12-14",6455.92
"1993-12-15",6397.91
"1993-12-16",6322.51
"1993-12-17",6426.91
"1993-12-20",6235.5
"1993-12-21",5846.87
"1993-12-22",5400.23
"1993-12-23",5498.84
"1993-12-27",5626.45
"1993-12-28",5696.06
"1993-12-29",6067.29
"1993-12-30",6200.7
"1993-12-31",6763.34
"1994-01-03",7291.18
"1994-01-04",6908.35
"1994-01-05",6345.71
"1994-01-06",6537.12
"1994-01-07",6357.31
"1994-01-10",6229.7
"1994-01-11",6548.72
"1994-01-12",6757.54
"1994-01-13",7006.96
"1994-01-14",6467.52
"1994-01-17",6890.95
"1994-01-18",6745.94
"1994-01-19",6821.35
"1994-01-20",6473.32
"1994-01-21",6432.71
"1994-01-24",6728.54
"1994-01-25",6600.93
"1994-01-26",6479.12
"1994-01-27",5974.48
"1994-01-28",5765.66
"1994-01-31",6165.89
"1994-02-01",6177.49
"1994-02-02",6154.29
"1994-02-03",6235.5
"1994-02-04",8845.71
"1994-02-07",8097.45
"1994-02-08",7923.43
"1994-02-09",7714.62
"1994-02-10",8259.86
"1994-02-11",8387.47
"1994-02-14",8283.06
"1994-02-15",7772.62
"1994-02-16",7616.01
"1994-02-17",7998.84
"1994-02-18",8526.68
"1994-02-22",7842.23
"1994-02-23",8068.45
"1994-02-24",9257.54
"1994-02-25",8584.69
"1994-02-28",8625.29
"1994-03-01",9182.13
"1994-03-02",9327.15
"1994-03-03",9489.56
"1994-03-04",9280.74
"1994-03-07",8271.46
"1994-03-08",9414.15
"1994-03-09",8358.47
"1994-03-10",9599.77
"1994-03-11",8625.29
"1994-03-14",9634.57
"1994-03-15",8573.09
"1994-03-16",8416.47
"1994-03-17",7401.39
"1994-03-18",7726.22
"1994-03-21",8317.87
"1994-03-22",7766.82
"1994-03-23",7140.37
"1994-03-24",7790.02
"1994-03-25",7929.23
