"Date","SPYSIM","TLTSIM"
"1964-08-28",12565.48,10885.72
"1964-08-31",12542.3,10870.34
"1964-09-01",12596.88,10872.09
"1964-09-02",12617.92,10856.74
"1964-09-03",12657.26,10858.49
"1964-09-04",12688.98,10860.24
"1964-09-08",12706.96,10861.99
"1964-09-09",12735.63,10863.74
"1964-09-10",12744.46,10848.41
"1964-09-11",12799.05,10850.17
"1964-09-14",12765.19,10851.92
"1964-09-15",12732.85,10853.67
"1964-09-16",12770.66,10855.42
"1964-09-17",12855.75,10874.26
"1964-09-18",12808.62,10893.14
"1964-09-21",12868.69,10912.05
"1964-09-22",12875.05,10913.8
"1964-09-23",12879.89,10915.55
"1964-09-24",12895.46,10917.3
"1964-09-25",12929.45,10919.05
"1964-09-28",12941.95,10920.8
"1964-09-29",12937.58,10922.55
"1964-09-30",12930.14,10924.31
"1964-10-01",12916.56,10926.06
"1964-10-02",12961.28,10927.81
"1964-10-05",13021.35,10912.37
"1964-10-06",13030.78,10914.12
"1964-10-07",13034.08,10915.88
"1964-10-08",13072.67,10917.63
"1964-10-09",13102.05,10919.39
"1964-10-12",13106.88,10921.14
"1964-10-13",13065.68,10922.9
"1964-10-14",13041.37,10924.65
"1964-10-15",12960.28,10909.23
"1964-10-16",13051.03,10893.85
"1964-10-19",13068.14,10895.61
"1964-10-20",13108.25,10914.52
"1964-10-21",13097.74,10933.46
"1964-10-22",13074.96,10935.22
"1964-10-23",13107.41,10936.97
"1964-10-26",13087.69,10938.73
"1964-10-27",13089.46,10940.49
"1964-10-28",13043.66,10976.75
"1964-10-29",13051.56,10978.51
"1964-10-30",13073.27,10997.58
"1964-11-02",13124.12,11016.69
"1964-11-04",13119.75,11018.44
"1964-11-05",13124.58,11020.2
"1964-11-06",13137.09,11021.95
"1964-11-09",13132.71,11023.7
"1964-11-10",13080.78,11042.86
"1964-11-11",13119.36,11044.62
"1964-11-12",13138,11063.82
"1964-11-13",13142.83,11065.57
"1964-11-16",13212.1,11049.87
"1964-11-17",13272.16,11034.2
"1964-11-18",13303.07,11035.96
"1964-11-19",13298.69,11055.14
"1964-11-20",13315.8,11056.89
"1964-11-23",13274.6,11006.47
"1964-11-24",13234.95,10973.63
"1964-11-25",13192.22,10975.39
"1964-11-27",13151.03,10977.16
"1964-11-30",13039.27,10978.92
"1964-12-01",12907.58,10980.69
"1964-12-02",12946.16,10982.45
"1964-12-03",13007.75,11018.85
"1964-12-04",13035.59,11020.61
"1964-12-07",13034.29,11039.75
